,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-05 20:00:00+00:00,21.209999,482.749681,25.5806415,45.639773000000005,0.0,106.52702024999999,207.98367000000002,889.6907847499999,0.0,0.0,1674.586225,889.6907847499999,1674.586225,-784.8954402500001,None,LT,2026-04-23
2026-01-05 21:00:00+00:00,21.209999,488.53420775,25.82655525,48.353939,0.0,105.81240325,274.79025325,964.5273574999999,0.0,112.566318,1547.95642,964.5273574999999,1660.522738,-695.9953805,None,LT,2026-04-23
2026-01-05 22:00:00+00:00,21.2057405,223.08820125,26.299721249999997,67.34571375,0.0,105.86951225,263.2364495,707.0453385000001,0.0,338.31609425,1485.390995,707.0453385000001,1823.70708925,-1116.66175075,None,LT,2026-04-23
2026-01-05 23:00:00+00:00,21.14793225,55.22990175,24.47432,56.042011,0.0,106.72343175,264.2396405,527.85723725,0.0,362.46518425000005,1446.3547775,527.85723725,1808.81996175,-1280.9627245,None,LT,2026-04-23
2026-01-06 00:00:00+00:00,21.2,55.2550615,25.22148125,66.56754624999999,0.0,106.71024725,262.33936775,537.2937039999999,0.0,429.58285525,1429.43968,537.2937039999999,1859.02253525,-1321.72883125,None,LT,2026-04-23
2026-01-06 01:00:00+00:00,21.26082525,55.33033175,25.229794,51.882056,0.0,106.98943,301.65502525,562.34746225,0.0,441.51453075,1428.80935,562.34746225,1870.32388075,-1307.9764185,None,LT,2026-04-23
2026-01-06 02:00:00+00:00,21.3748975,55.28801125,25.0027145,47.7163905,0.0,107.235507,340.608915,597.2264357500001,0.0,444.73284375,1442.663705,597.2264357500001,1887.39654875,-1290.170113,None,LT,2026-04-23
2026-01-06 03:00:00+00:00,21.389999,73.512645,24.206843,44.802910499999996,0.0,106.83958925,382.1790415,652.93102825,0.0,439.74345900000003,1521.480095,652.93102825,1961.223554,-1308.2925257499999,None,LT,2026-04-23
2026-01-06 04:00:00+00:00,21.38599975,176.48298075,24.20828825,41.80491375,0.0,106.233129,386.720143,756.8354545,1.11648275,0.0,1757.3740625,757.95193725,1757.3740625,-999.42212525,None,LT,2026-04-23
2026-01-06 05:00:00+00:00,21.389999,275.73543175,24.19434025,54.45921475,0.0,105.824591,448.3381355,929.9417122499999,0.6569785,0.0,1951.9147775000001,930.59869075,1951.9147775000001,-1021.3160867500002,None,LT,2026-04-23
2026-01-06 06:00:00+00:00,21.389999,434.27072625,24.208719000000002,82.3540895,3.917995,106.11874900000001,501.89665924999997,1174.156937,2.65752475,0.0,2110.5158575,1176.81446175,2110.5158575,-933.7013957500001,None,LT,2026-04-23
