,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Offshore,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-27 01:00:00+00:00,6.53622175,709.59497725,6912.52536925,14.39324975,1.2003055,777.349347,8421.5994705,361.5638735,0.0,5403.8825,8783.163343999999,5403.8825,3379.280843999999,None,NO_2,2026-04-23
2026-01-27 02:00:00+00:00,5.7517292499999995,709.33183725,6850.8033705,14.4407915,1.2,742.18899675,8323.71672525,378.73796600000003,0.0,5361.31,8702.45469125,5361.31,3341.1446912500005,None,NO_2,2026-04-23
2026-01-27 03:00:00+00:00,6.39074675,710.98826925,6864.470439000001,14.448182,1.49933325,710.41714,8308.21411025,400.84574,0.0,5377.865,8709.059850250002,5377.865,3331.1948502500018,None,NO_2,2026-04-23
2026-01-27 04:00:00+00:00,7.477393,707.3511745,6879.2172792500005,14.45575475,1.40022125,623.524344,8233.42616675,436.7552425,0.0,5471.4825,8670.181409249999,5471.4825,3198.698909249999,None,NO_2,2026-04-23
2026-01-27 05:00:00+00:00,7.981233250000001,713.0194535,7237.222173,14.41062975,1.4996665,657.8876475,8632.0208035,453.05129850000003,0.0,5767.54,9085.072102,5767.54,3317.532102,None,NO_2,2026-04-23
2026-01-27 06:00:00+00:00,6.9184275,734.2436660000001,7465.7618247499995,14.381748,1.59969425,655.2127672500001,8878.11812775,463.97274125,0.0,6075.014999999999,9342.090869,6075.014999999999,3267.0758690000002,None,NO_2,2026-04-23
2026-01-27 07:00:00+00:00,5.89405225,760.94407075,7294.21398575,14.46151725,1.6,722.9823575,8800.0959835,465.2935035,0.0,6165.115,9265.389486999999,6165.115,3100.2744869999988,None,NO_2,2026-04-23
2026-01-27 08:00:00+00:00,6.84656325,738.4615867499999,7455.22022125,14.59029675,1.4004435,852.20126325,9068.720374750003,463.0353685,0.0,6125.1575,9531.755743250003,6125.1575,3406.598243250003,None,NO_2,2026-04-23
2026-01-27 09:00:00+00:00,4.331602,727.60398025,7424.380728,14.43311175,1.30030475,804.1620740000001,8976.21180075,461.7019225,0.0,6095.8325,9437.91372325,6095.8325,3342.0812232499993,None,NO_2,2026-04-23
2026-01-27 10:00:00+00:00,1.506999,724.56058825,7394.20807775,14.61524475,0.30138875,829.79714875,8964.98944725,461.413101,0.0,6028.485000000001,9426.40254825,6028.485000000001,3397.9175482499995,None,NO_2,2026-04-23
2026-01-27 11:00:00+00:00,1.506999,724.962058,7410.0155585,14.52995975,0.399861,833.2078755,8984.62231175,442.14750200000003,0.0,5985.07,9426.76981375,5985.07,3441.6998137499995,None,NO_2,2026-04-23
2026-01-27 12:00:00+00:00,1.506999,725.048502,7342.12298975,14.6598355,0.30013875,857.62992525,8941.26839025,448.6045015,0.0,5942.2875,9389.87289175,5942.2875,3447.585391749999,None,NO_2,2026-04-23
2026-01-27 13:00:00+00:00,1.506999,721.79631325,7399.8133312499995,14.594886500000001,0.3,875.3956395,9013.4071695,453.94051175,0.0,5950.3575,9467.34768125,5950.3575,3516.9901812499993,None,NO_2,2026-04-23
2026-01-27 14:00:00+00:00,1.506999,719.89178275,7269.5761735,14.6703705,0.5994999999999999,828.6542735,8834.89909925,437.74559375,0.0,5996.79,9272.644693,5996.79,3275.854693,None,NO_2,2026-04-23
2026-01-27 15:00:00+00:00,1.506999,726.1394445,7304.325964,14.6254165,0.69980475,849.1979765,8896.49560525,440.3090205,0.0,6091.200000000001,9336.804625750001,6091.200000000001,3245.60462575,None,NO_2,2026-04-23
2026-01-27 16:00:00+00:00,1.506999,750.6289547499999,7481.0124909999995,14.6700305,0.799861,844.3455355,9092.963871749998,453.97658575,0.0,6097.8025,9546.940457499999,6097.8025,3449.137957499999,None,NO_2,2026-04-23
2026-01-27 17:00:00+00:00,1.506999,749.74927425,7437.43547525,14.585124,0.9996665,907.2295475000001,9111.506086500001,457.8936015,0.0,6025.6675,9569.399688000001,6025.6675,3543.7321880000018,None,NO_2,2026-04-23
2026-01-27 18:00:00+00:00,1.506999,748.06360625,7618.8952635000005,14.53775075,1.09983325,892.89174625,9276.995199,450.47290575,0.0,6001.6775,9727.468104750002,6001.6775,3725.790604750002,None,NO_2,2026-04-23
2026-01-27 19:00:00+00:00,1.506999,743.20754975,8345.50604025,14.34125975,1.29972125,889.87754575,9995.739115749999,463.881548,0.0,5982.0,10459.620663749998,5982.0,4477.620663749998,None,NO_2,2026-04-23
2026-01-27 20:00:00+00:00,1.506999,723.3401242499999,7944.1536015,14.367769,1.299999,939.65171725,9624.320210000002,381.130996,0.0,5917.74,10005.451206000002,5917.74,4087.7112060000018,None,NO_2,2026-04-23
2026-01-27 21:00:00+00:00,1.506999,721.4718555,7641.92113925,14.3112265,1.10027775,933.15805775,9313.46955575,363.1654975,0.0,5787.39,9676.63505325,5787.39,3889.2450532499997,None,NO_2,2026-04-23
2026-01-27 22:00:00+00:00,1.506999,719.59949075,7920.51229625,13.93378,1.1998609999999998,926.17940875,9582.931835749998,447.14241825,0.0,5657.6050000000005,10030.074253999997,5657.6050000000005,4372.469253999997,None,NO_2,2026-04-23
2026-01-27 23:00:00+00:00,1.506999,720.75821875,7323.43686075,13.66049525,1.2,940.64542525,9001.207999,430.505782,0.0,5528.0425,9431.713781,5528.0425,3903.671281000001,None,NO_2,2026-04-23
2026-01-28 00:00:00+00:00,1.506999,716.2101945,7040.0094115,13.54459175,1.2997489999999998,936.94558375,8709.5165295,424.709771,0.0,5469.125,9134.2263005,5469.125,3665.1013005000004,None,NO_2,2026-04-23
2026-01-28 01:00:00+00:00,1.506999,716.71373825,7048.311994,13.73248075,1.39980475,935.3486405,8717.01365725,426.85713275,0.0,5427.685,9143.870789999999,5427.685,3716.1857899999986,None,NO_2,2026-04-23
2026-01-28 02:00:00+00:00,1.506999,716.4484855000001,6911.273617999999,13.498166,1.300138,948.44069025,8592.468096749999,419.56235325,0.0,5402.84,9012.030449999998,5402.84,3609.1904499999982,None,NO_2,2026-04-23
2026-01-28 03:00:00+00:00,1.506999,715.36974075,6926.04212425,13.965549750000001,1.4996665,945.19297975,8603.57706,423.475916,0.0,5397.5725,9027.052975999999,5397.5725,3629.480475999999,None,NO_2,2026-04-23
2026-01-28 04:00:00+00:00,1.506999,717.95518975,7126.35393775,14.02841475,1.40011025,965.6775935000001,8826.922245,447.06674575,0.0,5486.889999999999,9273.98899075,5486.889999999999,3787.0989907500007,None,NO_2,2026-04-23
2026-01-28 05:00:00+00:00,1.506999,716.69306775,7436.1410295,14.0654275,1.30030475,981.077995,9150.784823499998,448.781267,0.0,5815.05,9599.566090499999,5815.05,3784.5160904999984,None,NO_2,2026-04-23
2026-01-28 06:00:00+00:00,1.506999,744.69181425,8006.015568,14.02090075,1.299999,957.221191,9724.756472000001,456.66254125,0.0,6183.13,10181.41901325,6183.13,3998.2890132500006,None,NO_2,2026-04-23
2026-01-28 07:00:00+00:00,1.506999,753.18339775,7870.73782175,14.0288595,1.20013875,859.5066045,9500.16382125,446.51508225,0.0,6266.1849999999995,9946.6789035,6266.1849999999995,3680.4939035000007,None,NO_2,2026-04-23
2026-01-28 08:00:00+00:00,1.506999,747.567725,8065.2813937500005,14.12555475,1.4995,776.21798825,9606.19916075,470.59793975,0.0,6234.03,10076.7971005,6234.03,3842.7671005,None,NO_2,2026-04-23
2026-01-28 09:00:00+00:00,1.506999,718.74047625,7981.883618,14.11312725,1.400138,773.08147575,9490.72583425,474.44909675,0.0,6207.5675,9965.174931000001,6207.5675,3757.6074310000013,None,NO_2,2026-04-23
2026-01-28 10:00:00+00:00,1.506999,719.69230075,8025.37724475,14.216518,1.49988875,806.18225125,9568.4752025,475.803934,0.0,6161.235000000001,10044.2791365,6161.235000000001,3883.044136499999,None,NO_2,2026-04-23
2026-01-28 11:00:00+00:00,1.506999,712.55802325,7697.400645,14.30867025,1.400138,898.45288875,9325.627364250002,467.0141135,0.0,6039.3325,9792.641477750001,6039.3325,3753.308977750001,None,NO_2,2026-04-23
2026-01-28 12:00:00+00:00,1.506999,717.7921445,7611.879027999999,14.446721499999999,1.30016575,889.252958,9236.17801675,463.09060425,0.0,5818.115,9699.268621,5818.115,3881.1536209999995,None,NO_2,2026-04-23
2026-01-28 13:00:00+00:00,1.506999,725.9697905,7654.19759225,14.4765815,1.299999,846.6313285,9244.082290749999,428.6652345,0.0,6012.2225,9672.747525249999,6012.2225,3660.525025249999,None,NO_2,2026-04-23
2026-01-28 14:00:00+00:00,1.506999,733.4867685,7641.097276500001,14.3705925,1.200111,867.88847475,9259.55022225,416.37245225000004,0.0,6094.535,9675.9226745,6094.535,3581.3876745,None,NO_2,2026-04-23
2026-01-28 15:00:00+00:00,1.506999,733.28423975,7715.0873007499995,14.49529975,1.39966575,882.334453,9348.107957999999,415.25943675,0.0,6214.72,9763.36739475,6214.72,3548.647394749999,None,NO_2,2026-04-23
2026-01-28 16:00:00+00:00,1.506999,751.587809,8114.6798065,14.350957000000001,1.399999,818.414626,9701.9401965,464.59320775000003,0.0,6224.385,10166.53340425,6224.385,3942.1484042499997,None,NO_2,2026-04-23
2026-01-28 17:00:00+00:00,1.506999,740.972739,7756.4237915,14.327253,1.30016575,774.206119,9288.73706725,445.45957675,0.0,6173.6475,9734.196644,6173.6475,3560.5491439999996,None,NO_2,2026-04-23
2026-01-28 18:00:00+00:00,1.506999,742.50215225,8263.561898,14.32524375,1.39986025,741.0193675,9764.315520749999,472.39992925,0.0,6134.77,10236.715449999998,6134.77,4101.945449999997,None,NO_2,2026-04-23
2026-01-28 19:00:00+00:00,1.506999,736.10408325,8186.538762,14.175739,1.499861,820.12584075,9759.951285,472.768861,0.0,6106.1275000000005,10232.720146,6106.1275000000005,4126.592645999999,None,NO_2,2026-04-23
2026-01-28 20:00:00+00:00,1.506999,716.304842,7802.44493625,14.11498425,1.5998610000000002,864.9865655,9400.958188,473.88904225,0.0,6013.165,9874.847230250001,6013.165,3861.6822302500013,None,NO_2,2026-04-23
2026-01-28 21:00:00+00:00,1.506999,715.5932809999999,7809.074841,14.08186375,1.6,834.46285275,9376.319837500001,476.41498275,0.0,5894.115,9852.734820250002,5894.115,3958.619820250002,None,NO_2,2026-04-23
