,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export,gap_filling_method,bidding_zone,source_download_date
2026-01-03 15:00:00+00:00,10.992304,1369.58159,296.70819,49.6356,221.11744,715.11277,1764.4464,343.757987,3.657,223.30238,4998.311661000001,47.52,0.0,5536.3195,5045.831661000001,5536.3195,-490.48783899999853,None,BG,2026-04-23
2026-01-03 16:00:00+00:00,11.425248,1378.87779,297.26799,49.6307,228.449014,788.02219,1764.5832,460.624804,3.573,233.068968,5215.522904,188.1,0.0,5537.12224,5403.622904000001,5537.12224,-133.49933599999895,None,BG,2026-04-23
2026-01-03 17:00:00+00:00,11.475056,1397.39094,300.1993,49.54,230.207204,771.17642,1764.9936,341.255009,3.476,264.200211,5133.91374,188.1,0.0,5350.42968,5322.01374,5350.42968,-28.415939999999864,None,BG,2026-04-23
2026-01-03 18:00:00+00:00,11.809312,1380.61527,300.781125,49.447,211.686819,671.86657,1764.1728,284.962788,3.449,244.988241,4923.778925,187.11,0.0,5178.99428,5110.888924999999,5178.99428,-68.1053550000006,None,BG,2026-04-23
2026-01-03 19:00:00+00:00,9.75256,1258.93035,294.52862,49.3898,128.005505,367.26637,1763.7624,33.97379,3.458,139.174685,4048.24208,140.58,0.0,5161.2328,4188.82208,5161.2328,-972.4107199999999,None,BG,2026-04-23
2026-01-03 20:00:00+00:00,9.135072,1132.92979,294.185135,49.5183,91.07007,289.59791,1764.5832,22.063803,3.466,134.431872,3790.981152,0.0,0.0,5016.07843,3790.981152,5016.07843,-1225.0972779999997,None,BG,2026-04-23
2026-01-03 21:00:00+00:00,8.79416,1069.70745,294.1394,49.4551,75.608992,155.54096,1764.3096,55.360235,3.428,95.52699,3571.8708869999996,0.0,0.0,4763.33496,3571.8708869999996,4763.33496,-1191.4640730000006,None,BG,2026-04-23
2026-01-03 22:00:00+00:00,11.286144,1105.5023,299.147705,49.5229,89.868358,30.77843,1762.3944,0.281457,2.935,67.6635,3419.3801940000003,0.0,0.0,4492.39801,3419.3801940000003,4492.39801,-1073.0178159999996,None,BG,2026-04-23
2026-01-03 23:00:00+00:00,11.454288,1075.09081,299.75202,49.6075,89.484624,8.68067,1765.2672,3.572236,3.412,72.999135,3379.320483,0.0,0.0,4278.31755,3379.320483,4278.31755,-898.9970669999998,None,BG,2026-04-23
2026-01-04 00:00:00+00:00,11.615408,1041.35885,299.74974,49.2993,89.00884,8.72323,1765.8144,0.10097,3.61,77.601595,3346.882333,0.0,0.0,4228.25494,3346.882333,4228.25494,-881.3726069999998,None,BG,2026-04-23
2026-01-04 01:00:00+00:00,10.979296,1035.82049,299.913515,49.2856,95.545117,8.67364,1764.8568,0.07416,3.66,96.922098,3365.730716,0.0,0.0,4470.54738,3365.730716,4470.54738,-1104.816664,None,BG,2026-04-23
2026-01-04 02:00:00+00:00,10.42744,1033.64971,298.35377,49.5965,97.937749,8.70333,1764.4464,0.059548,3.741,106.927613,3373.84306,0.0,0.0,4550.80052,3373.84306,4550.80052,-1176.9574599999996,None,BG,2026-04-23
2026-01-04 03:00:00+00:00,9.987136,1028.61835,299.79722,49.5479,101.420748,8.65777,1766.2248,0.076982,3.416,132.568583,3400.3154889999996,0.0,0.0,4612.4425,3400.3154889999996,4612.4425,-1212.1270110000005,None,BG,2026-04-23
2026-01-04 04:00:00+00:00,11.07728,1040.68037,300.550725,49.5832,104.034922,9.33987,1765.2672,0.210642,3.261,165.505259,3449.5104680000004,0.0,0.0,4463.68748,3449.5104680000004,4463.68748,-1014.1770119999992,None,BG,2026-04-23
2026-01-04 05:00:00+00:00,11.528272,1037.77101,300.4327,49.6197,134.849741,108.40122,1764.1728,1.594564,2.411,228.334095,3639.115102,0.0,0.0,4310.48986,3639.115102,4310.48986,-671.3747579999995,None,BG,2026-04-23
2026-01-04 06:00:00+00:00,11.430176,1035.19373,299.00277,49.7204,170.514055,165.58947,1763.2152,251.205212,3.15,267.631699,4016.652712,0.0,0.0,4666.68035,4016.652712,4666.68035,-650.0276379999996,None,BG,2026-04-23
