,Solar,Wind Onshore,Biomass,Hydro Run-of-river and poundage,Geothermal,Storage,Fossil Gas,Waste,Other,bidding_zone,source_download_date
2026-04-17 17:00:00+00:00,0.8693004604188327,208.77699391058962,56.50452992722412,64.90776771127284,0.0,0.0,616.3340264369523,4.636269122233774,23.47111243130848,IT_SICI,2026-04-23
2026-04-17 18:00:00+00:00,0.0,268.1967640152627,65.80991341356031,76.92067801584973,0.0,0.0,720.6612855884943,5.469914881127091,27.6914440857059,IT_SICI,2026-04-23
2026-04-17 19:00:00+00:00,0.0,308.3013418484501,81.00243972445465,79.677633467279,0.0,0.0,812.6740097588978,6.056257175660161,31.038318025258324,IT_SICI,2026-04-23
2026-04-17 20:00:00+00:00,0.0,326.89975138929515,72.62540216437556,33.83489324363849,0.0,0.0,701.8177098566832,5.468265574729453,27.853977771278153,IT_SICI,2026-04-23
2026-04-17 21:00:00+00:00,0.0,382.668620292083,80.15098962336664,16.753651037663335,0.0,0.0,473.86178900845505,6.092236740968485,31.222713297463493,IT_SICI,2026-04-23
2026-04-17 22:00:00+00:00,0.0,518.3650793650794,114.4126984126984,62.60317460317461,0.0,0.0,153.80952380952382,8.634920634920636,43.17460317460318,IT_SICI,2026-04-23
2026-04-17 23:00:00+00:00,0.0,558.3756148981025,121.0425158116655,68.28039353478566,0.0,0.0,0.0,9.028812368236121,46.272663387210116,IT_SICI,2026-04-23
2026-04-18 00:00:00+00:00,0.0,509.34035827186517,110.30136986301369,61.96417281348788,0.0,0.0,0.0,8.227608008429925,42.16649104320337,IT_SICI,2026-04-23
2026-04-18 01:00:00+00:00,0.0,520.9166666666666,108.14351851851852,61.179783950617285,0.0,0.0,0.0,8.377314814814815,41.632716049382715,IT_SICI,2026-04-23
2026-04-18 02:00:00+00:00,0.0,542.9442841687702,118.77785791561486,63.61089073205914,0.0,0.0,0.0,9.006851785070321,46.160115398485395,IT_SICI,2026-04-23
2026-04-18 03:00:00+00:00,0.0,568.3798806941431,127.93790672451193,73.10737527114968,0.0,0.0,0.0,10.187093275488069,49.137744034707154,IT_SICI,2026-04-23
2026-04-18 04:00:00+00:00,4.019004774146162,433.1068674256335,100.94794344473007,59.3394234300404,0.0,0.0,0.0,7.565185457216305,38.771575468233564,IT_SICI,2026-04-23
2026-04-18 05:00:00+00:00,46.66526730637423,321.97232693625773,75.67340644276902,46.12474297464017,0.0,0.0,0.0,5.765592871830021,29.548663468128854,IT_SICI,2026-04-23
2026-04-18 06:00:00+00:00,61.20706605222734,146.06820276497695,33.840860215053766,23.13609831029186,0.0,0.0,0.0,2.589861751152074,14.157910906298005,IT_SICI,2026-04-23
2026-04-18 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SICI,2026-04-23
2026-04-18 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SICI,2026-04-23
2026-04-18 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SICI,2026-04-23
2026-04-18 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SICI,2026-04-23
2026-04-18 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SICI,2026-04-23
2026-04-18 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SICI,2026-04-23
2026-04-18 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SICI,2026-04-23
2026-04-18 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT_SICI,2026-04-23
2026-04-18 15:00:00+00:00,5.754269729093051,13.432567726737338,3.8302414605418145,1.9863810365135453,0.0,0.0,3.4917550058892814,0.29394876325088337,1.4608362779740873,IT_SICI,2026-04-23
2026-04-18 16:00:00+00:00,21.451565093668485,149.0138131373014,45.54155797960635,28.678562959449845,0.0,0.0,216.92465022527864,3.6708560588095804,18.468994545885703,IT_SICI,2026-04-23
2026-04-18 17:00:00+00:00,1.1448158526821457,144.37399919935947,48.84547638110488,56.73198558847078,0.0,0.0,359.5993795036029,4.452061649319456,20.352281825460366,IT_SICI,2026-04-23
2026-04-18 18:00:00+00:00,0.0,167.09460297766748,70.44184243176178,82.09113937138132,0.0,0.0,525.3104838709678,6.188688999172871,29.1232423490488,IT_SICI,2026-04-23
2026-04-18 19:00:00+00:00,0.0,144.93216630196937,77.91466083150985,51.03501094091904,0.0,0.0,521.6105032822757,5.448577680525164,29.059080962800873,IT_SICI,2026-04-23
2026-04-18 20:00:00+00:00,0.0,134.02999268471106,91.13185808339429,51.435076810534014,0.0,0.0,557.6757498171178,6.829553767373811,34.147768836869055,IT_SICI,2026-04-23
2026-04-18 21:00:00+00:00,0.0,178.65960604425254,130.80990286022666,30.139098758769563,0.0,0.0,752.2346195358878,9.942795466810578,49.713977334052885,IT_SICI,2026-04-23
