,Solar,Wind Onshore,Biomass,Hydro Water Reservoir,Hydro Run-of-river and poundage,Other renewable,Storage,Nuclear,Fossil Gas,Waste,Other,bidding_zone,source_download_date
2026-01-04 21:00:00+00:00,0.0,171.88923465207284,0.0,900.8242573826828,13.63880323603137,2.4746948491750396,0.0,0.0,8.477442640438607,0.0,3.470567239599487,SE_2,2026-04-23
2026-01-04 22:00:00+00:00,0.0,186.93255481553106,0.0,819.7789507990676,16.04587043656914,3.147534963612466,0.0,0.0,10.044040624144563,0.0,3.5260483610752185,SE_2,2026-04-23
2026-01-04 23:00:00+00:00,0.0,299.4612836686753,0.0,1410.9952447103792,27.024799527785063,5.687870391455221,0.0,0.0,18.525251941672124,0.0,7.055549760033045,SE_2,2026-04-23
2026-01-05 00:00:00+00:00,0.0,292.7540320157894,0.0,1453.833343229816,28.96157324233657,5.829200541704762,0.0,0.0,19.607478077090857,0.0,7.264372893262728,SE_2,2026-04-23
2026-01-05 01:00:00+00:00,0.0,258.20110178171075,0.0,1472.1395056790202,28.289887431629786,5.693826886673417,0.0,0.0,19.239882045488827,0.0,8.360796175476878,SE_2,2026-04-23
2026-01-05 02:00:00+00:00,0.0,208.0129008808434,0.0,1361.517970504104,27.155072963265784,6.172200152418313,0.0,0.0,18.526226745083292,0.0,7.665628754285362,SE_2,2026-04-23
2026-01-05 03:00:00+00:00,0.0,186.90643915667403,0.0,1229.5411503523258,24.10591710066397,5.2198390702223385,0.0,0.0,16.4133232551295,0.0,6.963331064984503,SE_2,2026-04-23
2026-01-05 04:00:00+00:00,0.0,157.33136230157842,0.0,1081.2737967213388,15.53239388634383,3.311512376271072,0.0,0.0,10.661234759906716,0.0,6.81469995456123,SE_2,2026-04-23
2026-01-05 05:00:00+00:00,0.0,123.07390477227668,0.0,961.4531579101545,4.329163778041649,0.9461427096955372,0.0,0.0,2.965857081233985,0.0,6.981773748597439,SE_2,2026-04-23
2026-01-05 06:00:00+00:00,0.0,131.13838870868796,0.0,963.5055357442418,2.503092582122342,0.6182423222374478,0.0,0.0,1.820580971255799,0.0,7.089159671454577,SE_2,2026-04-23
2026-01-05 07:00:00+00:00,0.0,118.35191368886737,0.0,909.2147974195112,0.5768926061628775,0.15119507254886672,0.0,0.0,0.4313474870996291,0.0,6.898853725809905,SE_2,2026-04-23
2026-01-05 08:00:00+00:00,0.00042656457506325205,103.32204480724583,0.0,941.3694559422207,0.0,0.0,0.0,0.0,0.0,0.0,7.233072685958252,SE_2,2026-04-23
2026-01-05 09:00:00+00:00,0.006304750844817372,78.68893163618196,0.0,842.540301277215,0.0,0.0,0.0,0.0,0.0,0.0,6.564462335758271,SE_2,2026-04-23
